【レーティング】
    集計範囲：yyyy/mm/dd HH:MM ～ yyyy/mm/dd HH:MM
    集計対象：9100 ゲーム
    特記事項：16位まで表示

# チーム   レート 順位分布             平順 順位偏差  平均素点 得点偏差
-- -------- ------ -------------------- ---- -------- --------- --------
 1 Team_010 1627.0 612+590+534+539=2275 2.44       72  +25439.7       70
 2 Team_000 1621.3 566+563+557+589=2275 2.51       46  +25026.2       51
 3 Team_012 1593.7 529+579+578+589=2275 2.54       35  +24694.9       36
 4 Team_013 1574.4 573+522+593+587=2275 2.52       42  +24878.8       44
 5 Team_002 1572.4 562+565+593+555=2275 2.50       50  +25089.5       54
 6 Team_008 1558.8 545+556+566+608=2275 2.54       35  +24812.1       41
 7 Team_004 1551.4 574+575+564+562=2275 2.49       54  +24876.6       44
 8 Team_005 1548.6 572+608+558+537=2275 2.47       61  +25318.5       65
 9 Team_006 1534.7 583+556+591+545=2275 2.48       57  +25135.5       56
10 Team_009 1534.0 590+557+536+592=2275 2.50       50  +24958.6       48
11 Team_015 1527.5 535+571+590+579=2275 2.53       39  +24705.7       36
12 Team_003 1523.4 598+568+580+529=2275 2.46       65  +25289.9       64
13 Team_011 1502.3 564+588+576+547=2275 2.49       54  +25159.2       57
14 Team_014 1501.7 561+575+573+566=2275 2.50       50  +24923.8       46
15 Team_007 1500.8 569+570+557+579=2275 2.50       50  +24888.7       45
16 Team_001 1441.2 567+557+554+597=2275 2.52       42  +24802.1       41
