【成績サマリ】
    検索範囲：yyyy/mm/dd HH:MM ～ yyyy/mm/dd HH:MM
    最初のゲーム：yyyy/mm/dd HH:MM:SS
    最後のゲーム：yyyy/mm/dd HH:MM:SS
    集計対象：8 ゲーム  / トバされた人（延べ）：2 人
    特記事項：ゲスト置換なし(*：未登録プレイヤー)

【通算ポイント(差分)】
名前         通算 順位差 トップ差
---------- ------ ------ --------
Player_007  +57.1  *****    *****
Player_011  +53.0    4.1      4.1
Player_006  +43.6    9.4     13.5
Player_002  +30.8   12.8     26.3
Player_000  +14.5   16.3     42.6
Player_004   +8.0    6.5     49.1
Player_009  ▲22.2   30.2     79.3
Player_005  ▲22.3    0.1     79.4
Player_010  ▲26.5    4.2     83.6
Player_003  ▲28.6    2.1     85.7
Player_008  ▲42.4   13.8     99.5
Player_001  ▲65.0   22.6    122.1
