【成績サマリ】
    検索範囲：yyyy/mm/dd HH:MM ～ yyyy/mm/dd HH:MM
    最初のゲーム：yyyy/mm/dd HH:MM:SS
    最後のゲーム：yyyy/mm/dd HH:MM:SS
    集計対象：8 ゲーム  / トバされた人（延べ）：2 人
    特記事項：ゲスト置換なし(*：未登録プレイヤー)

【通算ポイント】
名前         通算   平均 順位分布         飛
---------- ------ ------ ---------------- --
Player_007  +57.1  +57.1 1+0+0+0=1 (1.00)  0
Player_011  +53.0  +53.0 1+0+0+0=1 (1.00)  0
Player_006  +43.6  +43.6 1+0+0+0=1 (1.00)  0
Player_002  +30.8  +15.4 1+0+1+0=2 (2.00)  0
Player_000  +14.5   +3.6 1+2+0+1=4 (2.25)  0
Player_004   +8.0   +8.0 0+1+0+0=1 (2.00)  0
Player_009  ▲22.2   ▲7.4 1+0+1+1=3 (2.67)  1
Player_005  ▲22.3   ▲4.5 0+3+1+1=5 (2.60)  0
Player_010  ▲26.5   ▲8.8 0+2+1+0=3 (2.33)  0
Player_003  ▲28.6  ▲28.6 0+0+0+1=1 (4.00)  0
Player_008  ▲42.4   ▲5.3 2+0+4+2=8 (2.75)  1
Player_001  ▲65.0  ▲32.5 0+0+0+2=2 (4.00)  0
