【素点分析】
    集計範囲：yyyy/mm/dd HH:MM ～ yyyy/mm/dd HH:MM
    集計対象：235 ゲーム

名前       対戦数 平順    平均素点     1位偏差    2位偏差    3位偏差    4位偏差
---------- ------ ---- ----------- ----------- ---------- ---------- ----------
Player_011     16 1.81  +33762.5点   ▲2193.3点  +4650.8点  ▲1320.0点  +2773.6点
Player_001      2 2.00  +52850.0点  +43828.9点      *****  ▲2520.0点      *****
Player_019     95 2.19  +29796.8点    +958.3点  +1331.7点  +1501.4点   ▲268.5点
Player_022     29 2.21  +28372.4点   ▲1125.6点  ▲3482.6点  +1794.3点  +1133.6点
Player_000     24 2.21  +28970.8点    +917.8点  +5017.4点  ▲2453.3点  ▲4126.4点
Player_006     25 2.24  +28584.0点   ▲2596.1点  +1060.3点    +63.3点  +4573.6点
Player_002      4 2.25  +24750.0点   ▲7871.1点  +3367.4点      ***** ▲10526.4点
Player_004     97 2.30  +28016.5点   ▲1657.3点   +821.4点  +1580.0点  +1020.3点
Player_007      8 2.38  +22262.5点   ▲2737.7点  +7117.4点  ▲3820.0点 ▲13726.4点
Player_018     31 2.39  +26116.1点    ▲858.6点  ▲3132.6点  +1330.0点   +893.6点
Player_023    104 2.40  +28621.2点   +5540.9点  +1332.2点  +3375.7点   ▲144.6点
Player_005     91 2.49  +22813.2点   ▲3223.7点  ▲2495.9点  ▲1235.0点  ▲1490.0点
Player_008     13 2.54  +21746.2点   ▲2421.1点  ▲2842.6点  ▲3253.3点  ▲1526.4点
Player_024     17 2.59  +23147.1点   +5228.9点  ▲7142.6点  ▲3260.0点  +6098.6点
Player_013     81 2.60  +24676.5点   +1168.1点    +90.2点   +639.1点  +1229.6点
Player_015      8 2.62  +22325.0点   ▲2521.1点  ▲2282.6点  ▲4120.0点  +4473.6点
Player_010     22 2.64  +24513.6点   ▲4604.4点  +3079.9点  +2360.0点  +1607.0点
Player_021     74 2.65  +22970.3点   ▲2326.6点   +584.1点    +48.2点   +732.7点
Player_009     24 2.67  +20087.5点   +4428.9点  ▲2055.3点  ▲5170.0点  ▲3212.1点
Player_017     21 2.76  +22576.2点  +11778.9点  +3667.4点  ▲3640.0点  ▲1346.4点
Player_020    106 2.85  +19281.1点   ▲2957.7点   ▲359.8点  ▲2123.0点   ▲312.5点
Player_014     15 2.87  +19380.0点   ▲5071.1点    ▲82.6点   +500.0点  ▲1326.4点
Player_016     14 3.00  +17235.7点   ▲2421.1点   +992.4点      *****  ▲1313.9点
Player_003      4 3.00  +18725.0点       *****  ▲6782.6点  +2130.0点  +2373.6点
Player_012     15 3.33  +15613.3点   ▲5821.1点  +3217.4点  +7480.0点  +1623.6点
