【素点分析】
    集計範囲：yyyy/mm/dd HH:MM ～ yyyy/mm/dd HH:MM
    集計対象：9100 ゲーム
    特記事項：なし

チーム   対戦数 平順    平均素点   1位偏差   2位偏差   3位偏差   4位偏差
-------- ------ ---- ----------- --------- --------- --------- ---------
Team_001   2275 2.44  +25439.7点   +89.5点  ▲129.9点   ▲85.8点   +51.3点
Team_007   2275 2.46  +25289.9点  ▲119.0点  ▲209.1点   ▲92.2点  +239.6点
Team_004   2275 2.47  +25318.5点   +93.3点  +187.1点  +244.5点  ▲248.1点
Team_015   2275 2.48  +25135.5点   +25.5点    +6.6点    +8.5点  ▲100.9点
Team_010   2275 2.49  +25159.2点  +626.3点   +73.5点   +18.5点  ▲496.3点
Team_012   2275 2.49  +24876.6点  ▲587.2点   +41.0点    ▲4.8点  ▲248.1点
Team_013   2275 2.50  +24923.8点  +315.8点  ▲373.5点  ▲306.1点  +171.7点
Team_003   2275 2.50  +24958.6点  ▲260.4点   +13.2点  +173.9点  ▲169.1点
Team_009   2275 2.50  +24888.7点  ▲274.1点   +12.8点   ▲61.3点    +6.9点
Team_008   2275 2.50  +25089.5点  ▲201.7点  +225.9点   +16.4点  +343.5点
Team_002   2275 2.51  +25026.2点   ▲17.7点  +212.4点  +128.8点  +212.4点
Team_014   2275 2.52  +24802.1点   ▲89.0点  ▲250.6点  ▲207.6点  +317.8点
Team_000   2275 2.52  +24878.8点   +63.9点   +21.2点  +161.4点   ▲80.2点
Team_005   2275 2.53  +24705.7点   +28.3点   ▲34.9点   +99.2点  ▲232.1点
Team_011   2275 2.54  +24812.1点   ▲93.3点  +219.0点  +164.9点  +293.2点
Team_006   2275 2.54  +24694.9点  +448.7点   ▲15.8点  ▲255.7点   ▲99.5点
